Subject,AgeGroup,Run,Item,PC1,PC2,PC3
298,6-9yo,6,3,-3.8370826,1.7597091,3.0160596
298,6-9yo,1,4,-2.32916,-2.2335932,-0.82620806
298,6-9yo,2,4,-1.8666986,3.2657685,-0.048957355
298,6-9yo,3,4,4.0244575,-1.4629056,0.1577325
298,6-9yo,4,4,4.724655,0.5079809,-1.8971299
298,6-9yo,5,4,-3.8091063,-1.4283684,-1.6630813
298,6-9yo,6,4,-3.1062372,-3.3002715,-2.4560344
226,6-9yo,1,1,2.154338,-2.2004874,2.330161
226,6-9yo,2,1,0.22621216,-2.827974,2.5469463
226,6-9yo,3,1,3.9117367,0.85251427,-1.7509031
226,6-9yo,4,1,1.0536281,-1.7378656,2.4314313
226,6-9yo,5,1,1.6531872,-3.0201404,3.0229828
226,6-9yo,6,1,0.2680615,-1.7135953,1.9474046
226,6-9yo,1,2,3.1741102,2.070245,-1.7217387
226,6-9yo,2,2,-3.3783941,-2.7857454,-2.1232374
226,6-9yo,3,2,-2.6112456,3.3260083,0.59903365
226,6-9yo,4,2,-2.9101136,3.6086867,0.3282667
226,6-9yo,5,2,-2.7208657,-2.694157,-2.8612726
226,6-9yo,6,2,-1.704381,3.719191,0.21382488
226,6-9yo,1,3,-2.3481479,-2.281791,-2.1644268
226,6-9yo,2,3,-3.4422781,4.562345,0.4937019
226,6-9yo,3,3,-3.1654153,-2.6127138,-1.2454722
226,6-9yo,4,3,-2.8959622,-2.7749217,-1.5047295
226,6-9yo,5,3,-3.7280328,3.489277,1.4086739
226,6-9yo,6,3,-3.198155,-2.0546286,-1.2586546
226,6-9yo,1,4,-2.9802988,2.4120338,1.5560046
226,6-9yo,2,4,6.5944586,1.0513729,-0.9174106
226,6-9yo,3,4,1.8649231,-1.5658091,2.3973427
226,6-9yo,4,4,4.7524476,0.90410036,-1.2549682
226,6-9yo,5,4,4.7957125,2.225021,-1.5703847
226,6-9yo,6,4,4.6344733,0.049033545,-0.9025751
323,6-9yo,1,1,6.1739945,0.5362258,-1.8509692
323,6-9yo,2,1,5.3646197,-2.6973155,0.605629
323,6-9yo,3,1,-0.14068864,-0.87296665,1.5819532
323,6-9yo,4,1,1.1342704,3.1025102,-1.8036815
323,6-9yo,5,1,5.132215,0.2351504,0.657373
323,6-9yo,6,1,-2.9280035,-0.5820566,3.0355647
323,6-9yo,1,2,-1.7273027,3.7990642,1.4358549
323,6-9yo,2,2,-2.9797,0.987553,3.4652104
323,6-9yo,3,2,-2.4429543,3.0649338,-0.21146742
323,6-9yo,4,2,-1.7160114,1.4969888,2.5546355
323,6-9yo,5,2,-0.7555123,-2.9988484,-1.654941
323,6-9yo,6,2,-5.135069,-2.2564452,-2.2002964
323,6-9yo,1,3,1.4229392,-3.043519,2.241267
323,6-9yo,2,3,2.3818192,3.5759206,-1.7245868
323,6-9yo,3,3,-2.4870424,-2.445107,-0.8805899
323,6-9yo,4,3,-5.0797033,-2.335837,-0.9944124
323,6-9yo,5,3,-1.4927213,3.2329998,-1.255796
323,6-9yo,6,3,1.6066144,6.519373,-0.6149357
323,6-9yo,1,4,-5.8696313,-1.2917717,-1.8261524
323,6-9yo,2,4,-4.766737,-1.8661575,-2.3462536
323,6-9yo,3,4,5.070686,0.25313953,-0.4898956
323,6-9yo,4,4,5.661444,-2.2636619,0.24345818
323,6-9yo,5,4,-2.883983,-0.4693016,2.2533638
323,6-9yo,6,4,6.456457,-3.6808703,-0.22033235
341,6-9yo,1,1,-1.2214314,-3.897649,-1.5180773
341,6-9yo,2,1,5.0144897,-2.792847,0.545522
341,6-9yo,3,1,9.403116,-0.86757916,0.16140644
341,6-9yo,4,1,1.4532397,-0.13220483,2.264729
341,6-9yo,5,1,-4.050524,-3.0649557,-0.8413251
341,6-9yo,6,1,-1.0525165,-4.619624,-1.7028825
341,6-9yo,1,2,-1.021267,-1.3071299,2.4008155
341,6-9yo,2,2,-4.978628,-2.1736717,-1.3539625
341,6-9yo,3,2,-4.3189178,-2.954005,-1.9804032
341,6-9yo,4,2,-2.8538554,3.5738623,-0.44017357
341,6-9yo,5,2,2.245392,-1.2157444,2.2797644
341,6-9yo,6,2,-1.0551306,4.720112,-1.6261041
341,6-9yo,1,3,-3.3136177,3.947608,-0.6203454
341,6-9yo,2,3,2.1073139,3.2530177,-1.8218507
341,6-9yo,3,3,-1.3106729,3.9875255,-1.3021028
341,6-9yo,4,3,4.764192,-0.14577945,-1.3145579
341,6-9yo,5,3,4.7712545,0.38930854,-1.6534493
341,6-9yo,6,3,6.7728195,-0.030659355,1.0510786
