Subject,AgeGroup,Run,Item,PC1,PC2
226,6-9yo,5,3,-6.9727025,-3.3498962
226,6-9yo,6,3,5.9023085,-2.830369
226,6-9yo,1,4,1.1526031,-2.1058233
226,6-9yo,2,4,5.5773444,-0.76108265
226,6-9yo,3,4,-0.11201394,3.6398652
226,6-9yo,4,4,-4.0652876,-0.5843685
226,6-9yo,5,4,7.309063,-3.0139043
226,6-9yo,6,4,0.39636067,1.9936864
323,6-9yo,1,1,0.1206603,5.8258724
323,6-9yo,2,1,-1.5269186,-4.1664796
323,6-9yo,3,1,-3.0331972,-2.0433035
323,6-9yo,4,1,7.5621448,-1.0106237
323,6-9yo,5,1,7.4757404,1.8891375
323,6-9yo,6,1,-3.3508089,-1.590813
323,6-9yo,1,2,8.8937235,-2.0373087
323,6-9yo,2,2,-4.7043133,7.055604
323,6-9yo,3,2,0.7521241,-2.888417
323,6-9yo,4,2,-5.7374144,-1.1535292
323,6-9yo,5,2,-4.3659787,5.4592123
323,6-9yo,6,2,-4.00503,6.1268396
323,6-9yo,1,3,-4.381978,-0.5344772
323,6-9yo,2,3,9.72995,1.2640482
323,6-9yo,3,3,-3.2980132,3.5529387
323,6-9yo,4,3,-1.2609185,-3.219571
323,6-9yo,5,3,-0.8087413,-4.822557
323,6-9yo,6,3,9.982904,0.57821196
323,6-9yo,1,4,-4.632405,-3.2540867
323,6-9yo,2,4,-3.4987133,-4.1531763
323,6-9yo,3,4,5.5790873,1.378782
323,6-9yo,4,4,-0.563812,5.3837233
323,6-9yo,5,4,-2.3010192,-2.5257947
323,6-9yo,6,4,-2.6270638,-5.11424
341,6-9yo,1,1,-0.6105077,-2.3819041
341,6-9yo,2,1,6.1899686,-0.25500798
341,6-9yo,3,1,5.583101,-0.24588156
341,6-9yo,4,1,-4.5921082,-2.49816
341,6-9yo,5,1,-2.2854817,4.7605495
341,6-9yo,6,1,3.0898428,2.0749
341,6-9yo,1,2,-1.6433867,2.9155872
341,6-9yo,2,2,0.054525197,3.1831005
341,6-9yo,3,2,-2.2316053,-2.2135162
341,6-9yo,4,2,4.721099,-0.8464627
341,6-9yo,5,2,-0.5264271,-3.0339992
341,6-9yo,6,2,-4.0370345,-3.4608376
341,6-9yo,1,3,-2.608488,-0.7940493
341,6-9yo,2,3,-0.15031828,-2.7657757
341,6-9yo,3,3,-1.5966007,4.7321563
341,6-9yo,4,3,-1.7427709,3.8352072
341,6-9yo,5,3,7.0523806,0.17370105
341,6-9yo,6,3,4.248038,-2.0940676
341,6-9yo,1,4,4.8623834,0.2603662
341,6-9yo,2,4,-6.094176,-0.16231656
341,6-9yo,3,4,-1.7548947,-2.2727578
341,6-9yo,4,4,1.6137794,-0.4905849
341,6-9yo,5,4,-4.2404714,-1.900251
341,6-9yo,6,4,-3.3008459,3.4800053
229,6-9yo,1,1,8.086345,0.48972946
229,6-9yo,2,1,-6.6322193,-5.1750054
229,6-9yo,3,1,-4.336124,-0.09520721
229,6-9yo,4,1,-1.5687854,5.439293
229,6-9yo,5,1,-3.3428023,-1.6657838
229,6-9yo,6,1,-4.826374,-3.7130988
229,6-9yo,1,2,-4.2023726,5.2616463
229,6-9yo,2,2,-4.588836,5.6674294
229,6-9yo,3,2,6.987098,-0.6553004
229,6-9yo,4,2,-5.413532,-2.0629566
229,6-9yo,5,2,2.771781,6.447184
229,6-9yo,6,2,-3.7864048,5.785034
229,6-9yo,1,3,-0.07483382,-1.0059487
229,6-9yo,2,3,9.0729065,-1.0479878
229,6-9yo,3,3,-1.8845478,-4.240181
229,6-9yo,4,3,1.2386154,-3.7197645
229,6-9yo,5,3,-5.6348877,-0.5265165
229,6-9yo,6,3,1.8763282,-3.691505
229,6-9yo,1,4,-3.8091393,-4.7454276
229,6-9yo,2,4,2.1481495,0.55556434
229,6-9yo,3,4,-0.76642853,4.9906898
229,6-9yo,4,4,5.7437015,0.34342897
229,6-9yo,5,4,6.2059083,-4.254885
229,6-9yo,6,4,6.736451,1.6195711
279,6-9yo,1,1,-3.6521938,4.0902123
279,6-9yo,2,1,1.7704073,4.871915
279,6-9yo,3,1,-1.3080137,-5.688342
279,6-9yo,4,1,-5.1337276,-4.108352
