Subject,AgeGroup,Run,Item,PC1,PC2
282,6-9yo,3,3,-9.683716,12.407045
282,6-9yo,1,4,0.85498095,11.319406
282,6-9yo,2,4,-18.283514,11.381155
282,6-9yo,3,4,15.61379,4.429048
350,6-9yo,1,1,15.966722,-5.1257195
350,6-9yo,2,1,-6.081107,10.681779
350,6-9yo,3,1,-10.562293,4.6439395
350,6-9yo,1,2,-6.9250913,2.4024596
350,6-9yo,2,2,16.468458,-1.9180902
350,6-9yo,3,2,16.68929,-7.1444798
350,6-9yo,1,3,-11.096715,-7.0622807
350,6-9yo,2,3,0.3254874,0.24106352
350,6-9yo,3,3,-9.725676,-11.954672
350,6-9yo,1,4,2.0550797,9.785546
350,6-9yo,2,4,-10.712841,-9.004753
350,6-9yo,3,4,3.598678,14.455213
212,6-9yo,1,1,2.7265851,3.588952
212,6-9yo,2,1,-6.592137,9.694717
212,6-9yo,3,1,16.369205,-4.037412
212,6-9yo,1,2,-3.9718404,10.293023
212,6-9yo,2,2,12.40816,0.10481017
212,6-9yo,3,2,-12.489305,-4.747295
212,6-9yo,1,3,-11.638847,-8.561507
212,6-9yo,2,3,-6.907949,-9.163747
212,6-9yo,3,3,-0.091175914,10.840061
212,6-9yo,1,4,12.884102,-5.3204665
212,6-9yo,2,4,1.0919292,-0.6357816
212,6-9yo,3,4,-3.788726,-2.055347
240,6-9yo,1,1,-8.739641,-7.9641314
240,6-9yo,2,1,-0.20166396,10.402082
240,6-9yo,3,1,-0.40349564,1.314713
240,6-9yo,1,2,17.040592,-2.013082
240,6-9yo,2,2,-1.9213153,-1.6443516
240,6-9yo,3,2,-11.252741,-6.5533
240,6-9yo,1,3,-4.6998124,-0.57329047
240,6-9yo,2,3,12.4451065,-4.017179
240,6-9yo,3,3,12.044132,-5.725542
240,6-9yo,1,4,-3.6011462,10.550507
240,6-9yo,2,4,-10.322129,-4.7405543
240,6-9yo,3,4,-0.38789368,10.964129
262,6-9yo,1,1,3.889298,0.45701143
262,6-9yo,2,1,-13.911984,-5.553399
262,6-9yo,3,1,-15.695999,-12.141779
262,6-9yo,1,2,30.490278,-2.0481765
262,6-9yo,2,2,-16.132023,3.8998568
262,6-9yo,3,2,16.92253,-11.343307
262,6-9yo,1,3,-19.449392,-18.682095
262,6-9yo,2,3,13.105925,11.052273
262,6-9yo,3,3,8.738106,12.586413
262,6-9yo,1,4,-14.93018,20.273258
262,6-9yo,2,4,16.93809,-9.398725
262,6-9yo,3,4,-9.964634,10.898674
297,6-9yo,1,1,23.096947,-4.8291078
297,6-9yo,2,1,-2.1562474,-2.644359
297,6-9yo,3,1,-5.6081815,9.063375
297,6-9yo,1,2,1.5686352,11.901409
297,6-9yo,2,2,-4.145639,9.447692
297,6-9yo,3,2,8.441496,0.09910376
297,6-9yo,1,3,-17.958294,-4.0381007
297,6-9yo,2,3,-8.770914,-5.704232
297,6-9yo,3,3,5.261115,-1.8099297
297,6-9yo,1,4,-6.707286,-3.0342076
297,6-9yo,2,4,15.072799,-1.0990995
297,6-9yo,3,4,-8.094428,-7.352549
280,6-9yo,1,1,-2.0237203,-0.7237026
280,6-9yo,2,1,17.904581,-5.343942
280,6-9yo,3,1,-8.28933,-2.27349
280,6-9yo,1,2,-12.950305,-7.316635
280,6-9yo,2,2,-14.158961,-6.9486613
280,6-9yo,3,2,11.529238,-6.300746
280,6-9yo,1,3,-1.8157173,12.427121
280,6-9yo,2,3,0.1374164,11.199702
280,6-9yo,3,3,-9.5817795,0.036397725
280,6-9yo,1,4,16.789738,-4.3867893
280,6-9yo,2,4,-3.8830354,1.0929065
280,6-9yo,3,4,6.3418694,8.537838
329,6-9yo,1,1,14.538942,-2.6399896
329,6-9yo,2,1,1.614393,8.099786
329,6-9yo,3,1,4.39577,-5.4524655
329,6-9yo,1,2,0.3882722,8.058857
329,6-9yo,2,2,-8.863431,-5.1733646
329,6-9yo,3,2,-6.71503,-7.0017986
329,6-9yo,1,3,-8.858515,-0.84885156
329,6-9yo,2,3,10.969468,-4.752758
