Subject,AgeGroup,Run,Item,PC1,PC2
226,6-9yo,5,3,7.1058154,-3.2084167
226,6-9yo,6,3,-6.115377,-2.4008725
226,6-9yo,1,4,1.3024975,0.8802746
226,6-9yo,2,4,-4.8585124,-3.4129968
226,6-9yo,3,4,-1.1639391,0.7188071
226,6-9yo,4,4,-5.6014233,-0.9780461
226,6-9yo,5,4,-6.4067917,-3.7229843
226,6-9yo,6,4,1.0202967,-3.758186
323,6-9yo,1,1,0.5201637,6.026849
323,6-9yo,2,1,-4.4367447,-4.2607217
323,6-9yo,3,1,-2.4074223,-2.9021559
323,6-9yo,4,1,7.249773,0.28422612
323,6-9yo,5,1,7.942789,-3.920398
323,6-9yo,6,1,-4.398798,-1.4285266
323,6-9yo,1,2,8.36756,-2.1389174
323,6-9yo,2,2,-3.3303163,7.7892637
323,6-9yo,3,2,0.8316078,-2.3434017
323,6-9yo,4,2,-6.052259,-0.378612
323,6-9yo,5,2,2.3832676,7.2063365
323,6-9yo,6,2,-1.2917798,7.062411
323,6-9yo,1,3,-3.5415242,-3.337486
323,6-9yo,2,3,10.481073,-0.19245973
323,6-9yo,3,3,-4.088536,3.5631094
323,6-9yo,4,3,-1.0712677,4.592607
323,6-9yo,5,3,-3.0884056,-2.3662627
323,6-9yo,6,3,10.327752,-1.5560398
323,6-9yo,1,4,-5.3462005,-0.55044484
323,6-9yo,2,4,-2.71401,-3.3360815
323,6-9yo,3,4,5.6643505,1.6824484
323,6-9yo,4,4,-0.1262452,-4.49822
323,6-9yo,5,4,-7.2376513,-0.91967434
323,6-9yo,6,4,-4.637175,-4.077842
341,6-9yo,1,1,0.9076659,3.0173352
341,6-9yo,2,1,-7.3085504,-0.6858105
341,6-9yo,3,1,-0.52993804,4.713607
341,6-9yo,4,1,-4.6971965,2.8541212
341,6-9yo,5,1,-0.5506829,4.8184385
341,6-9yo,6,1,-2.382204,4.0734997
341,6-9yo,1,2,-3.5960011,-2.4047213
341,6-9yo,2,2,-1.2299727,3.5338256
341,6-9yo,3,2,-2.8725405,-2.362475
341,6-9yo,4,2,5.3366766,2.2112231
341,6-9yo,5,2,-0.5829719,-4.2951055
341,6-9yo,6,2,5.7510505,0.71156454
341,6-9yo,1,3,-1.2297342,1.7455689
341,6-9yo,2,3,1.0202518,-3.192725
341,6-9yo,3,3,5.2678967,-1.216017
341,6-9yo,4,3,-1.4189337,-2.5263927
341,6-9yo,5,3,5.9661145,-0.22035162
341,6-9yo,6,3,0.10472475,-3.0767744
341,6-9yo,1,4,3.918069,-2.358183
341,6-9yo,2,4,7.5182686,0.3447088
341,6-9yo,3,4,-1.8654186,-1.1351153
341,6-9yo,4,4,0.7794556,-2.5389502
341,6-9yo,5,4,-4.83246,-0.30298236
341,6-9yo,6,4,-3.4735699,-1.7082907
229,6-9yo,1,1,8.746307,0.32457402
229,6-9yo,2,1,-6.5342264,-5.941315
229,6-9yo,3,1,-4.6057887,0.25393385
229,6-9yo,4,1,-0.8302272,5.5240383
229,6-9yo,5,1,-4.8889656,-2.041552
229,6-9yo,6,1,-4.1860676,-4.4276905
229,6-9yo,1,2,-4.0339055,5.6224313
229,6-9yo,2,2,-4.8397408,5.959628
229,6-9yo,3,2,7.469458,-0.8662002
229,6-9yo,4,2,-5.772626,-1.1391944
229,6-9yo,5,2,4.527116,6.2132306
229,6-9yo,6,2,-4.934285,5.343332
229,6-9yo,1,3,-0.75735056,-1.1505721
229,6-9yo,2,3,9.422247,-1.330975
229,6-9yo,3,3,-2.3521917,-4.320478
229,6-9yo,4,3,0.16089155,-4.18035
229,6-9yo,5,3,-5.283097,1.3323705
229,6-9yo,6,3,2.6148295,-3.5437477
229,6-9yo,1,4,-3.955051,-4.7964363
229,6-9yo,2,4,1.9517189,1.3126627
229,6-9yo,3,4,-0.511476,4.932746
229,6-9yo,4,4,6.4419565,-0.20449503
229,6-9yo,5,4,5.6449466,-5.5040483
229,6-9yo,6,4,6.505522,2.628107
279,6-9yo,1,1,-4.592302,4.564502
279,6-9yo,2,1,1.3770851,4.980225
279,6-9yo,3,1,1.2504201,5.671691
279,6-9yo,4,1,-3.920949,5.671697
279,6-9yo,5,1,-0.57146835,4.1670628
279,6-9yo,6,1,-6.194896,-3.640816
279,6-9yo,1,2,9.548575,1.085254
279,6-9yo,2,2,-3.5797088,0.49325618
279,6-9yo,3,2,-4.179308,2.234704
279,6-9yo,4,2,-5.3042293,-2.429084
279,6-9yo,5,2,6.17898,-1.1048497
