Subject,AgeGroup,Run,Item,PC1,PC2
226,6-9yo,1,4,-6.008573,-0.38693303
226,6-9yo,2,4,-8.549283,-6.6895623
226,6-9yo,3,4,-3.0683968,-3.7756362
226,6-9yo,4,4,-8.416874,6.2830787
226,6-9yo,5,4,6.5911727,-5.124171
226,6-9yo,6,4,-6.357472,-5.759116
323,6-9yo,1,1,19.210135,-6.2359104
323,6-9yo,2,1,13.183512,-8.953203
323,6-9yo,3,1,-4.4820347,10.483123
323,6-9yo,4,1,0.85262966,10.9449625
323,6-9yo,5,1,-9.595948,-7.26325
323,6-9yo,6,1,0.020937363,-8.221764
323,6-9yo,1,2,-3.0591314,-5.9106784
323,6-9yo,2,2,-6.811788,-4.3145127
323,6-9yo,3,2,-7.5584702,-7.234044
323,6-9yo,4,2,-1.8223615,-0.39706472
323,6-9yo,5,2,10.502579,-6.426715
323,6-9yo,6,2,-8.729849,12.368192
323,6-9yo,1,3,2.7623577,15.291024
323,6-9yo,2,3,5.477355,14.189603
323,6-9yo,3,3,-2.4795456,-2.3226528
323,6-9yo,4,3,-15.049395,-5.1149044
323,6-9yo,5,3,3.9755557,7.2971506
323,6-9yo,6,3,21.292067,1.6522232
323,6-9yo,1,4,-18.913359,-3.144435
323,6-9yo,2,4,-11.849078,-0.9218931
323,6-9yo,3,4,14.520053,-0.92642385
323,6-9yo,4,4,16.019129,-5.432991
323,6-9yo,5,4,-4.8821864,6.3928127
323,6-9yo,6,4,-12.58316,-5.7986484
341,6-9yo,1,1,9.0416765,2.0797734
341,6-9yo,2,1,-7.030797,0.32882747
341,6-9yo,3,1,15.626635,-0.5384244
341,6-9yo,4,1,-3.0771852,-0.42047516
341,6-9yo,5,1,2.261663,-5.3188972
341,6-9yo,6,1,-2.3733876,-5.5831013
341,6-9yo,1,2,-4.6205015,6.800942
341,6-9yo,2,2,7.3743267,-1.25977
341,6-9yo,3,2,-9.649893,-3.575555
341,6-9yo,4,2,11.395304,-1.3153715
341,6-9yo,5,2,-9.147941,5.612227
341,6-9yo,6,2,-3.939687,8.819665
341,6-9yo,1,3,-6.4419503,-3.6117253
341,6-9yo,2,3,-1.2371889,-5.0542893
341,6-9yo,3,3,-4.0504594,8.551676
341,6-9yo,4,3,-5.541321,-6.69745
341,6-9yo,5,3,-3.837861,-4.567751
341,6-9yo,6,3,11.890607,0.1971474
341,6-9yo,1,4,2.020774,-5.2689896
341,6-9yo,2,4,0.8936601,5.985232
341,6-9yo,3,4,-1.9262826,-4.437697
341,6-9yo,4,4,-2.7767959,8.433298
341,6-9yo,5,4,10.724137,4.2744226
341,6-9yo,6,4,-5.577532,-3.433716
229,6-9yo,1,1,15.658344,-0.31591323
229,6-9yo,2,1,5.243752,5.872769
229,6-9yo,3,1,-6.2885814,10.068922
229,6-9yo,4,1,-6.084371,9.710425
229,6-9yo,5,1,-0.10056959,-6.4881477
229,6-9yo,6,1,-12.31848,2.6854558
229,6-9yo,1,2,-0.91883934,-3.9404676
229,6-9yo,2,2,-6.020678,3.9168572
229,6-9yo,3,2,-2.2802775,-5.5091357
229,6-9yo,4,2,0.49180642,-7.93954
229,6-9yo,5,2,12.101344,4.5235143
229,6-9yo,6,2,-4.193795,-8.701634
