Subject,AgeGroup,Run,Item,PC1,PC2
226,6-9yo,5,3,-1.9259561,4.532525
226,6-9yo,6,3,-1.4155247,2.889832
226,6-9yo,1,4,-3.6188638,-1.5481498
226,6-9yo,2,4,8.977409,1.0665777
226,6-9yo,3,4,-1.5756894,-2.496715
226,6-9yo,4,4,-4.1891155,-3.1578891
226,6-9yo,5,4,5.8508997,0.30972084
226,6-9yo,6,4,4.9111056,-1.796495
323,6-9yo,1,1,-6.1311088,-6.139704
323,6-9yo,2,1,-0.7562852,7.3414764
323,6-9yo,3,1,-0.63613,6.0337706
323,6-9yo,4,1,-3.9443882,5.9847245
323,6-9yo,5,1,-2.282027,5.6455936
323,6-9yo,6,1,-0.45725316,7.683006
323,6-9yo,1,2,2.2865777,-2.1960661
323,6-9yo,2,2,-4.568166,-3.23305
323,6-9yo,3,2,-7.172438,-2.003961
323,6-9yo,4,2,1.1301043,0.6738882
323,6-9yo,5,2,8.273161,-0.42171574
323,6-9yo,6,2,9.142703,-1.6915119
323,6-9yo,1,3,-8.9991045,6.394953
323,6-9yo,2,3,8.505424,-1.9069737
323,6-9yo,3,3,-0.5167771,-2.6028275
323,6-9yo,4,3,9.920718,-1.437379
323,6-9yo,5,3,-2.0218637,-2.240239
323,6-9yo,6,3,-5.425832,0.25478393
323,6-9yo,1,4,12.843636,1.9408178
323,6-9yo,2,4,-3.1809719,-2.2014527
323,6-9yo,3,4,8.325345,-1.4269806
323,6-9yo,4,4,-7.1064315,-5.2212334
323,6-9yo,5,4,-3.9692693,-2.98364
323,6-9yo,6,4,-3.2596188,-6.246277
341,6-9yo,1,1,-3.2254221,-2.6761675
341,6-9yo,2,1,-5.3289194,-0.08205142
341,6-9yo,3,1,10.517169,-1.7093896
341,6-9yo,4,1,-0.6984828,-0.8109374
341,6-9yo,5,1,-4.4263015,-2.214941
341,6-9yo,6,1,-3.745839,3.1175284
341,6-9yo,1,2,-4.782646,1.4397681
341,6-9yo,2,2,5.7901545,-2.3704398
341,6-9yo,3,2,-6.401063,-4.067549
341,6-9yo,4,2,-6.4261518,-2.2420003
341,6-9yo,5,2,-0.89818823,6.106212
341,6-9yo,6,2,6.7797656,-4.655811
341,6-9yo,1,3,3.02739,4.0464964
341,6-9yo,2,3,-2.6913877,-1.5886353
341,6-9yo,3,3,-1.0793401,4.8454022
341,6-9yo,4,3,7.2181168,-2.0089235
341,6-9yo,5,3,-1.6094961,-2.6526155
341,6-9yo,6,3,-6.0251446,-4.285734
341,6-9yo,1,4,4.980678,-2.8100977
341,6-9yo,2,4,2.2301545,4.0411267
341,6-9yo,3,4,-3.0367687,0.93153936
341,6-9yo,4,4,-0.093483314,5.061861
341,6-9yo,5,4,6.9339857,-1.2386575
341,6-9yo,6,4,2.9912171,5.8240137
229,6-9yo,1,1,-4.1496534,2.9061666
229,6-9yo,2,1,4.854232,-2.476799
229,6-9yo,3,1,-1.4981949,1.2795153
229,6-9yo,4,1,-3.4877942,-0.13662234
229,6-9yo,5,1,-4.49211,-2.2862036
229,6-9yo,6,1,-5.361759,-3.3192353
229,6-9yo,1,2,-3.031405,-2.68316
229,6-9yo,2,2,1.1355597,2.1015813
229,6-9yo,3,2,-5.1493773,-3.1893938
229,6-9yo,4,2,-2.6061478,-4.1007895
229,6-9yo,5,2,3.250935,5.4101253
229,6-9yo,6,2,5.58779,-4.0286098
229,6-9yo,1,3,2.6924,-2.7428336
229,6-9yo,2,3,-4.686984,-2.9919634
229,6-9yo,3,3,7.204853,-1.731752
229,6-9yo,4,3,7.3768954,-0.6613696
229,6-9yo,5,3,-4.9352436,0.7706499
229,6-9yo,6,3,-3.4204147,2.8357296
229,6-9yo,1,4,4.4886594,2.519827
229,6-9yo,2,4,-1.3028089,3.3671815
229,6-9yo,3,4,-0.55728024,3.6416314
229,6-9yo,4,4,-1.282955,4.8987823
229,6-9yo,5,4,6.1764193,-3.8945704
229,6-9yo,6,4,3.1943858,4.5121164
279,6-9yo,1,1,-8.073042,-4.817761
279,6-9yo,2,1,6.7738953,-1.8938628
279,6-9yo,3,1,0.39912638,4.7526283
279,6-9yo,4,1,-1.912389,1.1736338
279,6-9yo,5,1,5.4878144,-0.8686408
279,6-9yo,6,1,7.8556147,0.695896
279,6-9yo,1,2,8.178715,-2.8746219
279,6-9yo,2,2,-3.9894795,-2.6050847
279,6-9yo,3,2,-2.481242,-3.9659908
279,6-9yo,4,2,4.448948,-2.8873172
279,6-9yo,5,2,-2.9833953,-2.2557907
279,6-9yo,6,2,-5.6342387,-3.5004787
279,6-9yo,1,3,3.9000483,1.9517686
279,6-9yo,2,3,-3.536774,0.2212379
279,6-9yo,3,3,-3.7585416,0.74412334
279,6-9yo,4,3,1.6438642,3.8208773
279,6-9yo,5,3,-0.8711275,4.12002
279,6-9yo,6,3,-3.991396,5.233677
279,6-9yo,1,4,-4.005717,5.740616
279,6-9yo,2,4,0.7523572,4.277709
279,6-9yo,3,4,5.8406587,-1.5307618
279,6-9yo,4,4,-4.1804247,-2.107193
279,6-9yo,5,4,-1.633291,-0.99558705
279,6-9yo,6,4,1.770021,-2.4290957
282,6-9yo,1,1,3.2483823,-2.364094
282,6-9yo,2,1,-0.9223811,-2.7154787
282,6-9yo,3,1,-1.8108653,7.4836755
282,6-9yo,4,1,16.813503,-1.2624669
282,6-9yo,5,1,-1.458796,5.1414824
282,6-9yo,6,1,-6.764688,6.101582
282,6-9yo,1,2,1.447548,3.0942438
282,6-9yo,2,2,-4.5263667,-2.1201673
282,6-9yo,3,2,-7.525044,-3.7939072
282,6-9yo,4,2,-12.744549,-3.7829058
282,6-9yo,5,2,1.0669856,-4.520523
282,6-9yo,6,2,9.938998,2.2035148
282,6-9yo,1,3,-1.8600734,1.1578504
282,6-9yo,2,3,7.7390285,-0.102337174
282,6-9yo,3,3,1.1603801,-2.1622376
282,6-9yo,4,3,-3.3524823,8.865695
282,6-9yo,5,3,-6.4802504,-1.2425548
282,6-9yo,6,3,-3.3690305,-5.8903484
282,6-9yo,1,4,-2.8358564,-1.8880005
282,6-9yo,2,4,-2.2902825,4.937985
282,6-9yo,3,4,8.175532,-1.5275298
282,6-9yo,4,4,-0.71647245,-3.82032
282,6-9yo,5,4,6.8720603,0.6215953
282,6-9yo,6,4,0.19471878,-2.414748
350,6-9yo,1,1,0.06375789,3.3068926
350,6-9yo,2,1,-4.1222386,3.9065723
350,6-9yo,3,1,1.423194,4.3295474
350,6-9yo,4,1,9.887038,0.04848554
350,6-9yo,5,1,-2.0711713,4.7911234
350,6-9yo,6,1,-6.470962,-2.4179854
350,6-9yo,1,2,4.5439024,-0.9202305
350,6-9yo,2,2,-0.7123174,-3.2593398
350,6-9yo,3,2,-4.2858944,1.0530066
350,6-9yo,4,2,-2.067901,-3.8779025
350,6-9yo,5,2,1.5622145,2.4983816
350,6-9yo,6,2,7.021974,-5.2477326
350,6-9yo,1,3,-2.7081802,0.6959479
350,6-9yo,2,3,5.5843573,2.0992277
350,6-9yo,3,3,-4.2758985,-3.2217968
350,6-9yo,4,3,-3.3590615,7.793742
350,6-9yo,5,3,7.4327087,-3.0962012
350,6-9yo,6,3,2.578595,7.9172797
350,6-9yo,1,4,-1.899478,-3.0826108
350,6-9yo,2,4,-0.74980253,-2.7464604
350,6-9yo,3,4,7.138599,-2.160757
350,6-9yo,4,4,-4.460073,-3.9643214
350,6-9yo,5,4,-6.923752,-4.193303
350,6-9yo,6,4,-3.1296053,-0.25156203
212,6-9yo,1,1,-5.4336195,-2.6551762
212,6-9yo,2,1,-4.759216,3.2613351
212,6-9yo,3,1,-3.009482,-2.8552053
212,6-9yo,4,1,-4.0731554,-5.2538624
212,6-9yo,5,1,-2.9022021,-0.83933777
212,6-9yo,6,1,-0.5586254,-2.4841979
