Subject,AgeGroup,Run,Item,PC1,PC2,PC3
298,6-9yo,6,3,-1.3723879,7.31258,-0.08597377
298,6-9yo,1,4,-1.8957448,-2.8283775,-2.445428
298,6-9yo,2,4,-3.1941497,4.128074,0.08708804
298,6-9yo,3,4,-6.228911,-0.98287237,-3.6543558
298,6-9yo,4,4,-4.902692,1.7154217,2.8108945
298,6-9yo,5,4,-6.7505274,0.9379774,3.0121748
298,6-9yo,6,4,0.102560334,-2.3937106,6.1426954
226,6-9yo,1,1,3.695633,-3.4069679,2.8577464
226,6-9yo,2,1,-0.4618914,-2.5747466,4.139337
226,6-9yo,3,1,6.3357854,0.8173359,-1.480605
226,6-9yo,4,1,3.7432344,3.582159,-2.2120595
226,6-9yo,5,1,5.772966,2.1388466,-3.0222006
226,6-9yo,6,1,-2.439719,5.1925035,0.9479317
226,6-9yo,1,2,4.723495,2.7925317,-2.697948
226,6-9yo,2,2,-3.137584,-4.603447,-2.9351895
226,6-9yo,3,2,-3.3393724,-3.1561685,-2.926083
226,6-9yo,4,2,-4.219161,-3.4806073,-2.043571
226,6-9yo,5,2,3.3078418,-2.3654191,4.0857277
226,6-9yo,6,2,-0.011764753,-3.0626404,4.2136846
226,6-9yo,1,3,-3.9152732,3.6829526,2.4853864
226,6-9yo,2,3,-5.2647033,5.609909,-0.23896445
226,6-9yo,3,3,-3.194839,4.7689085,0.37276468
226,6-9yo,4,3,-4.064221,3.211513,2.2852447
226,6-9yo,5,3,-4.229889,-5.513371,-1.9756901
226,6-9yo,6,3,6.386881,0.41176704,-1.7390292
226,6-9yo,1,4,-4.503857,-3.0685167,-2.6451843
226,6-9yo,2,4,8.864179,1.568284,-0.96518314
226,6-9yo,3,4,0.19842641,-2.4300768,4.033924
226,6-9yo,4,4,4.5401487,-3.3130643,1.970385
226,6-9yo,5,4,-4.850919,5.7399435,0.9121629
226,6-9yo,6,4,-3.935396,-2.541628,-3.4225876
323,6-9yo,1,1,-6.1662517,5.561264,-2.0469122
323,6-9yo,2,1,9.119727,-1.0335279,-0.56225413
323,6-9yo,3,1,0.23452751,5.5447383,-1.8986483
