,Unnamed: 0,subject,age_group,run,path,func_path,cluster_hip_cluster_no_acc_mask_mean,cluster_hip_cluster_no_acc_unmasked_mean
225,225,339,10-12yo,4,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-4_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-4_pca12_varExpl.nii.gz,0.8135750105506495,0.8229305446147919
226,226,339,10-12yo,5,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-5_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-5_pca12_varExpl.nii.gz,0.8002726717999107,0.8083621144294739
227,227,339,10-12yo,6,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-6_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_339/moshiGO_339_run-6_pca12_varExpl.nii.gz,0.861733969889189,0.8540553212165832
228,228,320,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-1_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-1_pca12_varExpl.nii.gz,0.7845821566879749,0.7925757584364518
229,229,320,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-2_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-2_pca12_varExpl.nii.gz,0.7828572914004326,0.7879473515178846
230,230,320,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-3_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-3_pca12_varExpl.nii.gz,0.710593368858099,0.7203422370164291
231,231,320,10-12yo,4,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-4_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-4_pca12_varExpl.nii.gz,0.7403328083455563,0.7448117499766143
232,232,320,10-12yo,5,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-5_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-5_pca12_varExpl.nii.gz,0.8019845671951771,0.8110647745754408
233,233,320,10-12yo,6,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-6_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_320/moshiGO_320_run-6_pca12_varExpl.nii.gz,0.7628375589847565,0.766413178132928
234,234,246,10-12yo,1,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-1_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-1_pca12_varExpl.nii.gz,0.7539661228656769,0.7540138882975425
235,235,246,10-12yo,2,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-2_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-2_pca12_varExpl.nii.gz,0.8282319009304047,0.8277612097801701
236,236,246,10-12yo,3,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-3_pca12_varExpl_MNI_nn_dilated.nii.gz,/scratch/09123/ofriend/moshi/pca_sl/results/moshiGO_246/moshiGO_246_run-3_pca12_varExpl.nii.gz,0.7545334870616595,0.7567003600059017
