Subject,AgeGroup,Run,Item,PC1,PC2,PC3
298,6-9yo,2,4,3.7016835,-8.329073,4.2511716
298,6-9yo,3,4,-2.609777,-10.243493,-7.803681
298,6-9yo,4,4,-8.851092,-6.5196447,-5.786589
298,6-9yo,5,4,15.178061,-5.7641215,1.3870705
298,6-9yo,6,4,-9.360681,-5.2909217,-6.2875576
226,6-9yo,1,1,-9.332399,-1.0337958,10.987755
226,6-9yo,2,1,1.7486675,15.303547,-9.3343935
226,6-9yo,3,1,17.799538,3.4101129,-7.6072154
226,6-9yo,4,1,-8.370445,-8.510015,-7.424251
226,6-9yo,5,1,6.5645037,0.07231016,12.160299
226,6-9yo,6,1,2.1166985,-4.501212,9.594817
226,6-9yo,1,2,17.016827,-5.732957,1.7568913
226,6-9yo,2,2,-5.691723,7.8205314,12.43541
226,6-9yo,3,2,4.2227507,-11.539581,11.120474
226,6-9yo,4,2,-3.212696,13.268838,-2.9321034
226,6-9yo,5,2,-11.418711,-13.686482,-1.9125589
226,6-9yo,6,2,-12.942242,-6.541573,-4.7306447
226,6-9yo,1,3,0.7284584,15.844154,-3.7821462
226,6-9yo,2,3,-15.434894,-13.381518,-4.228125
226,6-9yo,3,3,-7.627811,15.524604,5.5971813
226,6-9yo,4,3,-7.874735,-2.3412685,9.990888
226,6-9yo,5,3,-10.636727,14.071407,-2.184728
226,6-9yo,6,3,-4.3463216,12.433257,0.39634416
226,6-9yo,1,4,-8.412889,-9.077398,-8.9625
226,6-9yo,2,4,19.377949,-9.742559,1.1271067
226,6-9yo,3,4,-14.394477,-7.3951354,-9.110446
226,6-9yo,4,4,19.457872,-2.417563,0.36547428
226,6-9yo,5,4,15.490938,-0.45723128,-8.063015
226,6-9yo,6,4,15.171861,-1.390467,-5.260517
323,6-9yo,1,1,13.153922,5.2411227,-4.8387823
323,6-9yo,2,1,-8.095372,10.888217,-6.3488073
323,6-9yo,3,1,-12.445238,1.0290836,-7.537935
323,6-9yo,4,1,-8.31119,6.9047174,6.028188
323,6-9yo,5,1,-3.2430701,-11.172545,9.684378
323,6-9yo,6,1,8.737652,1.4582341,-4.410447
323,6-9yo,1,2,-6.772426,12.055062,4.793642
323,6-9yo,2,2,5.1588197,-10.642549,-8.344936
323,6-9yo,3,2,12.758452,-4.6905465,-6.16628
323,6-9yo,4,2,11.248194,-8.579133,3.5397863
323,6-9yo,5,2,14.348078,-3.4430583,-7.237438
323,6-9yo,6,2,3.0876365,-3.486089,6.7893434
323,6-9yo,1,3,4.798531,-11.307102,6.046742
323,6-9yo,2,3,12.422486,6.42295,5.9811673
